m,N,scheme,L2_error
5,50,DRP,0.1059095306768844
5,50,DRP-M,0.0349062233398881
5,50,MDCD,0.0643022681719552
5,50,SA-DRP,0.004708239821874
5,100,DRP,0.0083835451864766
5,100,DRP-M,0.003361318952904
5,100,MDCD,0.0054362281384531
5,100,SA-DRP,0.000149235486954
5,200,DRP,0.000551321152578
5,200,DRP-M,0.0002297972221195
5,200,MDCD,0.0003626686276502
5,200,SA-DRP,5.49446626470538e-06
5,400,DRP,3.489364360963643e-05
5,400,DRP-M,1.4675442590877994e-05
5,400,MDCD,2.302939047579529e-05
5,400,SA-DRP,2.1586074659187762e-07
5,1000,DRP,8.969446759420218e-07
5,1000,DRP-M,3.777313942491803e-07
5,1000,MDCD,5.921611173581928e-07
5,1000,SA-DRP,3.497048122232024e-09
10,50,DRP,0.2489243250641178
10,50,DRP-M,0.1244937703239537
10,50,MDCD,0.1727779876092679
10,50,SA-DRP,0.1220524206386696
10,100,DRP,0.1189642853150921
10,100,DRP-M,0.0415539683124592
10,100,MDCD,0.0743976016225637
10,100,SA-DRP,0.0052195155146757
10,200,DRP,0.0097308876476637
10,200,DRP-M,0.0039125414008718
10,200,MDCD,0.0063157654989026
10,200,SA-DRP,0.0001551167108083
10,400,DRP,0.000638551066692
10,400,DRP-M,0.0002663085487678
10,400,MDCD,0.0004201367368505
10,400,SA-DRP,5.8614170379866e-06
10,1000,DRP,1.656889199138612e-05
10,1000,DRP-M,6.975883859075446e-06
10,1000,MDCD,1.0939179214160767e-05
10,1000,SA-DRP,8.550426610684326e-08
15,50,DRP,0.2203812720348218
15,50,DRP-M,0.1708455519499509
15,50,MDCD,0.1516643785387086
15,50,SA-DRP,0.1400415496590962
15,100,DRP,0.1753626623634828
15,100,DRP-M,0.081613674950466
15,100,MDCD,0.1740490935798196
15,100,SA-DRP,0.0393193080670663
15,200,DRP,0.050732099917641
15,200,DRP-M,0.0193377078264977
15,200,MDCD,0.0323591213510922
15,200,SA-DRP,0.0012632546554845
15,400,DRP,0.0035967498555335
15,400,DRP-M,0.0014788487075524
15,400,MDCD,0.0023539204042273
15,400,SA-DRP,4.432645810985848e-05
15,1000,DRP,9.484567293861448e-05
15,1000,DRP-M,3.98504000844186e-05
15,1000,MDCD,6.257489079948265e-05
15,1000,SA-DRP,5.949290614754785e-07
20,50,DRP,0.2048184234489055
20,50,DRP-M,0.162399307970925
20,50,MDCD,0.1385267417455253
20,50,SA-DRP,0.1313066563379591
20,100,DRP,0.1945921524436092
20,100,DRP-M,0.1127264310525105
20,100,MDCD,0.1679037254885204
20,100,SA-DRP,0.0976951522531047
20,200,DRP,0.129542194090829
20,200,DRP-M,0.0525757706180168
20,200,MDCD,0.0889700464405172
20,200,SA-DRP,0.0062194030447479
20,400,DRP,0.0122559188896593
20,400,DRP-M,0.0049407154528381
20,400,MDCD,0.0079618273182956
20,400,SA-DRP,0.0001833315321237
20,1000,DRP,0.000331002095878
20,1000,DRP-M,0.0001386561045389
20,1000,MDCD,0.0002181395637114
20,1000,SA-DRP,2.4405950672842316e-06
