m,scheme,L2_error
20,DRP,0.0641246568104514
20,DRP-M,0.0246658697832097
20,MDCD,0.0412165984002652
20,SA-DRP,0.0017175588316114
40,DRP,0.1198121112221043
40,DRP-M,0.109297617126472
40,MDCD,0.1052750923836162
40,SA-DRP,0.051536344638287
60,DRP,0.1039701529127227
60,DRP-M,0.1028591141410349
60,MDCD,0.088450356553253
60,SA-DRP,0.0696088156585395
80,DRP,0.0895225604325939
80,DRP-M,0.0912017036243777
80,MDCD,0.0772218282403068
80,SA-DRP,0.0661909537840435
100,DRP,0.0796991340240692
100,DRP-M,0.0824844881962454
100,MDCD,0.0694006836013613
100,SA-DRP,0.0614684010332384
120,DRP,0.0745869359163674
120,DRP-M,0.0752079097931767
120,MDCD,0.063554738460551
120,SA-DRP,0.0575465643209373
20,Compact6,0.0006819097470191159
40,Compact6,0.04052592552992303
60,Compact6,0.07847819953976097
80,Compact6,0.0734929207289668
100,Compact6,0.0664249332255229
120,Compact6,0.06383922373930799
